visible at 
frame = 21700
-1440.718389 6316.480020 -114.058741
-1464.318314 6305.678441 -265.257098
-1477.751972 6295.638154 -417.512575
-1485.340964 6282.682473 -570.422150
-1475.700006 6269.187575 -722.447107
-1453.882785 6254.750875 -873.300461
-1472.129170 6227.178477 -1023.204609
-1448.192139 6205.919775 -1172.315667
-1443.259321 6176.689130 -1321.001839
-1385.221812 6157.441844 -1463.848706
-1392.819143 6118.465649 -1611.693990
-1370.728912 6083.181461 -1757.665058
-1323.700043 6050.859956 -1900.515212
-1278.801688 6014.627380 -2042.484277
-1226.217045 5977.153718 -2181.720520
-1159.767063 5940.747730 -2315.027461
-1073.224908 5908.470642 -2437.454268
-975.786097 5877.431078 -2551.780468
-878.413569 5842.633304 -2665.164150
-779.176441 5804.964287 -2775.932404
-676.702985 5764.846364 -2882.852200
-570.116708 5723.285615 -2985.086869
-459.443108 5681.686945 -3082.882812
-342.396676 5641.508849 -3173.590695
-215.567305 5604.467676 -3251.568607
-77.514848 5572.866283 -3310.504357
69.099241 5548.014368 -3348.259259
219.993594 5529.156723 -3368.759355
372.464139 5514.598576 -3377.709933
525.528417 5505.512995 -3373.274810
677.373724 5502.649177 -3351.864787
827.529049 5502.049846 -3320.266621
975.912621 5500.933138 -3281.472643
1122.915605 5500.027020 -3237.271798
1264.454442 5504.988066 -3178.812631
1400.337801 5512.784404 -3108.045720
1539.615303 5512.046400 -3043.655044
1674.125826 5512.300606 -2969.797878
1806.612963 5511.647858 -2892.541669
1932.573846 5514.012161 -2804.907467
2050.743213 5518.348569 -2707.259250
2163.560603 5523.907043 -2603.346582
2275.445134 5527.068949 -2498.469487
2385.199610 5528.063041 -2391.185380
2488.910636 5529.815713 -2278.217217
2583.645607 5534.438468 -2157.541369
2664.834785 5544.825840 -2027.814474
2737.066624 5558.266379 -1893.079189
2809.100584 5568.917201 -1758.068651
2877.814826 5577.400235 -1621.106357
2936.169115 5586.930977 -1479.569683
2979.789236 5600.011581 -1332.999121
3006.725990 5618.602930 -1183.135489
3026.512008 5638.061650 -1032.212895
3046.459680 5653.098301 -880.852112
3049.798353 5672.398282 -728.765328
3033.291299 5698.104677 -578.455841
3015.555739 5719.748019 -427.625764
3005.187734 5733.239079 -275.151967
2989.499774 5746.249821 -123.153449
2956.152667 5763.643556 25.604480
2918.759581 5779.869204 173.465445
2877.724521 5793.943152 320.633430
2820.922277 5812.287831 461.945879
2751.000670 5833.582413 596.785999
2671.565062 5856.105621 726.122097
2585.499168 5878.875490 851.057333
2491.660689 5902.188901 970.191299
2389.801630 5925.495996 1082.521538
2280.966496 5948.369669 1188.222299
2167.111155 5970.470336 1288.667622
2048.951131 5991.928552 1384.167971
1924.910597 6013.120029 1471.960159
1793.904377 6034.447246 1548.926728
1655.985529 6056.303749 1612.514073
1512.492469 6078.949127 1661.896180
1365.247217 6102.486608 1698.143617
1216.775801 6125.670621 1728.930032
1066.628141 6147.328069 1751.714627
914.799500 6168.826248 1754.142237
763.036389 6190.847068 1748.197805
610.532671 6206.149364 1753.567558
457.837077 6219.346124 1752.067625
308.298769 6237.119085 1722.632861
161.153849 6254.019082 1683.222985
14.734078 6268.413900 1639.280933
-128.875074 6281.280299 1586.975244
-269.594103 6292.403665 1526.806822
-406.495244 6301.854265 1458.207541
-539.035138 6309.690986 1381.307333
-665.504605 6317.123159 1294.743504
-782.497732 6324.315594 1195.735886
-886.965610 6330.465961 1083.549272
-979.126485 6334.980215 960.946981
-1062.807120 6337.706432 832.398396
-1142.140307 6338.845392 701.045179
-1216.190237 6338.076858 566.708826
-1282.715957 6335.541782 428.410309
-1340.740899 6331.668102 286.525288
-1388.417137 6326.727392 140.650509
-1423.492123 6321.038623 -8.528478
-1423.492123 6321.038623 -8.528478
-1423.492123 6321.038623 -8.528478

visible at 
frame = 21701
-1440.742085 6316.469162 -114.354788
-1464.320055 6305.666241 -265.553061
-1477.731132 6295.623341 -417.806864
-1485.301829 6282.664781 -570.713287
-1475.634561 6269.170308 -722.733393
-1453.801909 6254.730644 -873.579997
-1472.014831 6227.159111 -1023.483668
-1448.062328 6205.898060 -1172.588769
-1443.104666 6176.667046 -1321.271414
-1385.057426 6157.416705 -1464.109352
-1392.630629 6118.439918 -1611.953224
-1370.503947 6083.159329 -1757.917735
-1323.462469 6050.835387 -1900.758333
-1278.544957 6014.602798 -2042.718173
-1225.941857 5977.129429 -2181.943082
-1159.471993 5940.723916 -2315.236573
-1072.914906 5908.447872 -2437.647834
-975.469986 5877.404242 -2551.963534
-878.080257 5842.609932 -2665.328409
-778.803214 5804.956501 -2776.061594
-676.284190 5764.854090 -2882.938467
-569.672749 5723.299858 -2985.143302
-458.998590 5681.699133 -3082.932552
-341.963948 5641.513815 -3173.646630
-215.146548 5604.462434 -3251.631792
-77.095286 5572.853716 -3310.558032
69.523848 5548.005056 -3348.279034
220.420566 5529.153745 -3368.739175
372.890705 5514.602624 -3377.657025
525.950834 5505.520586 -3373.195871
677.790930 5502.653751 -3351.772575
827.939062 5502.054083 -3320.157889
976.312149 5500.941833 -3281.339402
1123.305256 5500.038282 -3237.117388
1264.836701 5504.995294 -3178.648386
1400.713226 5512.784825 -3107.876301
1539.979945 5512.045821 -3043.470439
1674.479061 5512.300386 -2969.598971
1806.950691 5511.650987 -2892.323815
1932.894691 5514.019339 -2804.671464
2051.043061 5518.362341 -2707.003972
2163.835961 5523.928506 -2603.070724
2275.695473 5527.101135 -2498.171999
2385.423425 5528.104542 -2390.866794
2489.107213 5529.866394 -2277.878943
2583.814271 5534.498809 -2157.185611
2664.973360 5544.894914 -2027.443967
2737.172973 5558.343960 -1892.696756
2809.173384 5569.004959 -1757.673069
2877.853407 5577.498826 -1620.698420
2936.174795 5587.038466 -1479.152730
2979.763989 5600.125110 -1332.577803
3006.673924 5618.719688 -1182.713044
3026.434487 5638.180579 -1031.791341
3046.349843 5653.223527 -880.430511
3049.658891 5672.527078 -728.346924
3033.128354 5698.232698 -578.043685
3015.370064 5719.875924 -427.219942
3004.978004 5733.368537 -274.751254
2989.262529 5746.382276 -122.759443
2955.887935 5763.779267 25.988169
2918.471354 5780.003695 173.839367
2877.439753 5794.064382 321.006148
2820.672559 5812.378630 462.333027
2750.797649 5833.636351 597.199069
2671.392863 5856.130098 726.555211
2585.333362 5878.888382 851.492597
2491.477453 5902.206188 970.607483
2389.579443 5925.524612 1082.894964
2280.705204 5948.406796 1188.547602
2166.830771 5970.507456 1288.966540
2048.679457 5991.957387 1384.473621
1924.655167 6013.136784 1472.285864
1793.654772 6034.454921 1549.257131
1655.721285 6056.313509 1612.802789
1512.201092 6078.974108 1662.087965
1364.931166 6102.541524 1698.202996
1216.447598 6125.753065 1728.889440
1066.303107 6147.404506 1751.679069
914.475624 6168.886654 1754.105121
762.716561 6190.902798 1748.142669
610.214998 6206.203789 1753.486117
457.522830 6219.397322 1751.967984
307.989926 6237.164915 1722.521717
160.851902 6254.060507 1683.097352
14.442796 6268.453943 1639.132548
-129.149719 6281.322905 1586.792859
-269.850073 6292.447297 1526.590622
-406.737138 6301.894191 1457.968869
-539.273303 6309.722132 1381.069039
-665.736936 6317.144862 1294.501371
-782.711925 6324.330706 1195.478781
-887.165894 6330.475451 1083.282809
-979.322775 6334.985319 960.681770
-1063.008817 6337.704998 832.141182
-1142.349003 6338.834606 700.795608
-1216.380844 6338.059318 566.454316
-1282.868999 6335.521488 428.140982
-1340.853977 6331.649675 286.244845
-1388.495777 6326.713551 140.360771
-1423.535724 6321.027927 -8.821609
-1423.535724 6321.027927 -8.821609
-1423.535724 6321.027927 -8.821609

visible at 
frame = 21702
-1440.765741 6316.458917 -114.651628
-1464.321089 6305.653998 -265.849022
-1477.710954 6295.609364 -418.100542
-1485.262648 6282.647882 -571.003809
-1475.571322 6269.151943 -723.018102
-1453.733289 6254.707636 -873.859135
-1471.902623 6227.139698 -1023.764144
-1447.944746 6205.873736 -1172.865785
-1442.952155 6176.644470 -1321.545925
-1384.914760 6157.384507 -1464.379751
-1392.448708 6118.410258 -1612.224095
-1370.279869 6083.133623 -1758.182116
-1323.233703 6050.805526 -1901.013626
-1278.292779 6014.572838 -2042.962817
-1225.666169 5977.101133 -2182.174438
-1159.172748 5940.698162 -2315.453322
-1072.600061 5908.422505 -2437.848244
-975.149737 5877.374942 -2552.152741
-877.744227 5842.584096 -2665.499520
-778.427263 5804.946426 -2776.196228
-675.862714 5764.858824 -2883.030087
-569.225314 5723.312471 -2985.205265
-458.549879 5681.709914 -3082.985707
-341.527024 5641.517553 -3173.704573
-214.721593 5604.455962 -3251.696982
-76.672142 5572.841547 -3310.612485
69.951952 5547.994825 -3348.298709
220.851084 5529.150640 -3368.718277
373.319399 5514.606631 -3377.603403
526.375379 5505.528137 -3373.116220
678.209555 5502.658327 -3351.679653
828.349786 5502.058366 -3320.048451
976.713096 5500.950532 -3281.205453
1123.694951 5500.050246 -3236.963067
1265.218959 5505.002521 -3178.484142
1401.088611 5512.784632 -3107.706088
1540.343923 5512.045987 -3043.285924
1674.830877 5512.300165 -2969.400772
1807.286997 5511.654026 -2892.107373
1933.213410 5514.026558 -2804.436171
2051.340732 5518.375274 -2706.750725
2164.109230 5523.950537 -2602.797074
2275.941601 5527.134106 -2497.876024
2385.641798 5528.150169 -2390.546562
2489.294283 5529.924627 -2277.536578
2583.968570 5534.568766 -2156.823142
2665.094779 5544.974479 -2027.066850
2737.262917 5558.432691 -1892.307801
2809.228361 5569.103953 -1757.270968
2877.870009 5577.610496 -1620.282752
2936.154339 5587.160878 -1478.726829
2979.711280 5600.255141 -1332.147017
3006.596474 5618.852025 -1182.281738
3026.331538 5638.314386 -1031.360837
3046.210372 5653.364591 -880.000066
3049.490543 5672.672285 -727.920464
3032.945431 5698.371736 -577.622113
3015.168576 5720.013270 -426.803807
3004.749666 5733.508134 -274.341735
2989.002510 5746.526448 -122.357530
2955.601097 5763.925948 26.379857
2918.161063 5780.149861 174.221198
2877.129418 5794.198026 321.385268
2820.399977 5812.479563 462.726852
2750.575141 5833.697663 597.621296
2671.206053 5856.160418 726.999086
2585.155695 5878.905714 851.940220
2491.283643 5902.225722 971.036297
2389.346681 5925.555475 1083.281021
2280.432628 5948.446124 1188.884830
2166.539807 5970.546645 1289.276679
2048.395738 5991.987499 1384.789168
1924.389110 6013.154727 1472.621471
1793.393158 6034.464307 1549.595230
1655.444270 6056.324054 1613.097176
1511.897693 6079.000446 1662.284632
1364.603755 6102.596962 1698.266642
1216.108037 6125.836033 1728.853115
1065.967462 6147.482037 1751.646992
914.141130 6168.947886 1754.069373
762.386033 6190.958038 1748.089781
609.887377 6206.258472 1753.407541
457.199420 6219.449784 1751.868217
307.672620 6237.211700 1722.408341
160.542203 6254.103022 1682.970896
14.143720 6268.494373 1638.983428
-129.432201 6281.365195 1586.609828
-270.113217 6292.489779 1526.373165
-406.984742 6301.933671 1457.729560
-539.516435 6309.753314 1380.828613
-665.972818 6317.166427 1294.256409
-782.930381 6324.345634 1195.218139
-887.368313 6330.484716 1083.013522
-979.521202 6334.990197 960.413737
-1063.211898 6337.703997 831.881058
-1142.559077 6338.824432 700.544535
-1216.572214 6338.040764 566.197076
-1283.022756 6335.501061 427.870246
-1340.968479 6331.631068 285.962283
-1388.575127 6326.699664 140.070328
-1423.579288 6321.017756 -9.116235
-1423.579288 6321.017756 -9.116235
-1423.579288 6321.017756 -9.116235

visible at 
frame = 21703
-1440.789436 6316.448059 -114.947675
-1464.322873 6305.641096 -266.144895
-1477.690108 6295.594727 -418.393425
-1485.224214 6282.630500 -571.292838
-1475.510205 6269.133797 -723.302116
-1453.678384 6254.681235 -874.137793
-1471.791167 6227.119625 -1024.044533
-1447.838766 6205.845535 -1173.145128
-1442.801163 6176.620042 -1321.824488
-1384.795227 6157.345426 -1464.659205
-1392.272709 6118.376099 -1612.505103
-1370.057425 6083.103684 -1758.458114
-1323.012331 6050.770194 -1901.281790
-1278.045823 6014.538071 -2043.219707
-1225.390693 5977.068783 -2182.415294
-1158.870783 5940.669943 -2315.676923
-1072.281788 5908.394629 -2438.055502
-974.826061 5877.343132 -2552.348796
-877.405475 5842.555881 -2665.676777
-778.048635 5804.933183 -2776.337624
-675.439222 5764.861313 -2883.127154
-568.775192 5723.322271 -2985.271175
-458.098391 5681.719376 -3083.042283
-341.086612 5641.520016 -3173.765229
-214.293857 5604.448348 -3251.764186
-76.245549 5572.827579 -3310.668155
70.383595 5547.984290 -3348.319073
221.284473 5529.147976 -3368.698162
373.750925 5514.610465 -3377.549772
526.802048 5505.535557 -3373.036561
678.629599 5502.662905 -3351.586021
828.761926 5502.062562 -3319.939008
977.114044 5500.959229 -3281.071503
1124.085314 5500.061554 -3236.807950
1265.601175 5505.009045 -3178.319809
1401.463327 5512.785096 -3107.536671
1540.706481 5512.046152 -3043.102120
1675.181277 5512.300030 -2969.202578
1807.621885 5511.657062 -2891.891641
1933.529952 5514.032939 -2804.202911
2051.636318 5518.388863 -2706.498983
2164.379702 5523.973175 -2602.525637
2276.184275 5527.168698 -2497.580240
2385.851894 5528.199917 -2390.226101
2489.471093 5529.989663 -2277.190740
2584.107837 5534.649081 -2156.454056
2665.199795 5545.065281 -2026.682503
2737.335662 5558.531209 -1891.912144
2809.263443 5569.215194 -1756.861038
2877.864683 5577.736125 -1619.858030
2936.108545 5587.299661 -1478.291452
2979.631108 5600.401674 -1331.706763
3006.492928 5618.999897 -1181.842278
3026.203818 5638.462059 -1030.923404
3046.042058 5653.522682 -879.562358
3049.293308 5672.833814 -727.486654
3032.740449 5698.522626 -577.191223
3014.951226 5720.159178 -426.378676
3004.501303 5733.657960 -273.923416
2988.719010 5746.682379 -121.947712
2955.292147 5764.083513 26.778840
2917.828661 5780.306908 174.610325
2876.793510 5794.343908 321.769379
2820.103908 5812.592078 463.127175
2750.333935 5833.767619 598.051803
2671.004589 5856.195966 727.454517
2584.966084 5878.926172 852.401084
2491.078597 5902.248337 971.478354
2389.103345 5925.588585 1083.679709
2280.148767 5948.487654 1189.233982
2166.237513 5970.587244 1289.598127
2048.101432 5992.019502 1385.114530
1924.110335 6013.174425 1472.964773
1793.119488 6034.474614 1549.940412
1655.155237 6056.336046 1613.397150
1511.582275 6079.028142 1662.486181
1364.264992 6102.653101 1698.335965
1215.757788 6125.918954 1728.822560
1065.620457 6147.560001 1751.618478
913.796684 6169.009200 1754.035082
762.046349 6191.014810 1748.038881
609.550512 6206.313192 1753.330428
456.866762 6219.502197 1751.769209
307.346814 6237.259005 1722.294930
160.224669 6254.145221 1682.843795
13.837604 6268.535851 1638.833488
-129.721767 6281.407828 1586.426066
-270.383443 6292.532694 1526.155680
-407.238726 6301.973364 1457.488818
-539.765237 6309.784665 1380.586758
-666.212203 6317.188733 1294.009936
-783.150970 6324.360426 1194.955377
-887.573532 6330.494503 1082.741320
-979.721718 6334.995641 960.143494
-1063.416362 6337.703519 831.618729
-1142.769163 6338.813903 700.290647
-1216.763545 6338.022735 565.938339
-1283.176517 6335.480457 427.598100
-1341.082937 6331.613165 285.679633
-1388.654521 6326.685075 139.779973
-1423.622849 6321.007674 -9.410157
-1423.622849 6321.007674 -9.410157
-1423.622849 6321.007674 -9.410157

visible at 
frame = 21704
-1440.813841 6316.437245 -115.243725
-1464.324652 6305.628371 -266.439361
-1477.669257 6295.580270 -418.684899
-1485.186479 6282.613427 -571.579756
-1475.452000 6269.114687 -723.583850
-1453.636444 6254.652100 -874.416056
-1471.682592 6227.098846 -1024.326252
-1447.745805 6205.813542 -1173.426804
-1442.653103 6176.593939 -1322.106404
-1384.698210 6157.297923 -1464.948237
-1392.104721 6118.338098 -1612.797753
-1369.837239 6083.070961 -1758.745911
-1322.800560 6050.728207 -1901.561948
-1277.804835 6014.498103 -2043.486646
-1225.114629 5977.033920 -2182.664418
-1158.565352 5940.639830 -2315.908164
-1071.960039 5908.365124 -2438.268289
-974.499617 5877.309738 -2552.550384
-877.064045 5842.524588 -2665.860094
-777.667993 5804.917694 -2776.484465
-675.014421 5764.861600 -2883.229670
-568.323760 5723.329957 -2985.341829
-457.644929 5681.725978 -3083.103511
-340.644132 5641.521204 -3173.829308
-213.863337 5604.439681 -3251.832698
-75.816789 5572.814183 -3310.723906
70.817362 5547.973624 -3348.339429
221.719945 5529.144479 -3368.677948
374.184573 5514.614080 -3377.496837
527.229468 5505.543637 -3372.956988
679.050351 5502.667439 -3351.492388
829.174069 5502.066847 -3319.828860
977.514991 5500.967928 -3280.937553
1124.475009 5500.073518 -3236.653630
1265.982014 5505.016271 -3178.156274
1401.835916 5512.785601 -3107.367966
1541.067580 5512.045700 -3042.918231
1675.529547 5512.299847 -2969.005802
1807.953934 5511.660093 -2891.677327
1933.843698 5514.040018 -2803.971158
2051.929727 5518.401613 -2706.249272
2164.647289 5523.995020 -2602.256233
2276.422070 5527.204733 -2497.286764
2386.055879 5528.254447 -2389.904791
2489.636269 5530.062290 -2276.841524
2584.231319 5534.739010 -2156.078969
2665.286951 5545.166706 -2026.290846
2737.391292 5558.640831 -1891.510672
2809.279992 5569.337624 -1756.445295
2877.835251 5577.874874 -1619.426288
2936.035948 5587.454022 -1477.847922
2979.523511 5600.565233 -1331.258537
3006.363996 5619.163261 -1181.394661
3026.051421 5638.625179 -1030.477810
3045.843487 5653.697972 -879.116691
3049.066476 5673.011620 -727.046200
3032.515480 5698.684268 -576.753029
3014.718015 5720.313649 -425.944554
3004.234374 5733.818538 -273.497084
2988.412778 5746.850641 -121.530778
2954.961130 5764.252661 27.185030
2917.474143 5780.474659 175.005340
2876.432030 5794.502116 322.159188
2819.784303 5812.715297 463.532675
